project_name,donor_number,chain_donated,token,amount,amountUSD,qf_eligible,badgeholder
Revoke.cash,Donor 12,10,USDGLO,3,3.003,TRUE,FALSE
SEAL Intel,Donor 12,10,USDGLO,2,2.002,TRUE,FALSE
EVMcrispr,Donor 12,10,USDGLO,2,2.002,TRUE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 12,10,USDGLO,3,3.003,TRUE,FALSE
Verifereum,Donor 12,10,USDGLO,3,3.003,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 12,10,USDGLO,2,2.002,TRUE,FALSE
CrossBar Open Source Security Hardware Wallet,Donor 12,10,USDGLO,3,3.003,TRUE,FALSE
hevm,Donor 12,10,USDGLO,5,5.005,TRUE,FALSE
Cyfrin/Solodit Tooling and Security Research,Donor 12,10,USDGLO,5,5.005,TRUE,FALSE
K Stack: The Formal Verification Layer for Ethereum,Donor 12,10,USDGLO,2,2.002,TRUE,FALSE
Grego AI,Donor 12,10,USDGLO,2,2.002,TRUE,FALSE
DeFiScan,Donor 12,10,USDGLO,2,2.002,TRUE,FALSE
Dappnode,Donor 12,10,USDGLO,2,2.002,TRUE,FALSE
Verity: Formal Verification for Smart Contracts,Donor 13,100,XDAI,14.39,14.38768321,TRUE,FALSE
Open-Source AI Security Triage by HackenProof,Donor 14,1,USDC,20,19.9958,TRUE,FALSE
Echidna: A Fast Smart Contract Fuzzer,Donor 12,10,USDGLO,3,2.998866,TRUE,FALSE
CORE3. The open risk layer for Web3,Donor 15,8453,USDC,5.2,5.1998388,TRUE,FALSE
Revoke.cash,Donor 1,10,OP,1,0.122093,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 7,100,GIV,10000,5.6715,TRUE,FALSE
yAudit,Donor 16,8453,ETH,0.01,23.3602,TRUE,FALSE
Drew Security,Donor 3,137,DAI,5,4.99898,TRUE,FALSE
Pharos Watch: Transparent Stablecoins Analytics,Donor 12,10,USDGLO,1.1,1.1011,TRUE,FALSE
CORE3. The open risk layer for Web3,Donor 17,8453,USDC,5,4.999105,FALSE,FALSE
BlockThreat,Donor 1,10,USDC,1.05,1.04986035,FALSE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 18,100,XDAI,10,9.99804,TRUE,FALSE
EVMcrispr,Donor 18,100,XDAI,10,9.99804,TRUE,FALSE
snekmate,Donor 19,10,USDC,10,9.99826,TRUE,FALSE
SEAL 911,Donor 19,10,USDC,5,4.99913,TRUE,FALSE
Sourcify,Donor 19,10,USDC,5,4.99913,TRUE,FALSE
Remix Project,Donor 19,10,USDC,5,4.99913,TRUE,FALSE
Revoke.cash,Donor 19,10,USDC,5,4.99913,TRUE,FALSE
ZachXBT,Donor 19,10,USDC,10,9.99826,TRUE,FALSE
Vyper,Donor 19,10,USDC,10,9.99826,TRUE,FALSE
Colibri: Trustless Blockchain Data for Wallets and dApp,Donor 19,10,USDC,10,9.99826,TRUE,FALSE
yAudit,Donor 20,1,ETH,0.005,11.67055,TRUE,FALSE
