project_name,donor_number,chain_donated,token,amount,amountUSD,qf_eligible,badgeholder
human.tech,Donor 962,10,ETH,0.00001,0.023084,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 963,100,XDAI,7.11,7.11,FALSE,FALSE
human.tech,Donor 964,8453,USDC,5,4.999365,TRUE,FALSE
human.tech,Donor 964,1,ETH,0.0001,0.23094,TRUE,FALSE
human.tech,Donor 965,1,ETH,0.0001,0.231102,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 966,8453,ETH,0.0001,0.230861,FALSE,FALSE
human.tech,Donor 814,10,ETH,0.00043,0.9927023,TRUE,FALSE
human.tech,Donor 967,8453,USDC,0.2,0.1999756,TRUE,FALSE
human.tech,Donor 968,1,ETH,0.00009966201577,0.2300797296,TRUE,FALSE
human.tech,Donor 969,8453,USDC,1,0.999914,FALSE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 970,137,POL,0.02,0.001946,FALSE,FALSE
WiiMee | Wallet Security Education,Donor 762,8453,USDC,15,14.997315,TRUE,FALSE
human.tech,Donor 790,1,ETH,0.0001,0.230877,FALSE,FALSE
Pharos Watch: Transparent Stablecoins Analytics,Donor 105,8453,USDC,1.24,1.23965404,TRUE,FALSE
human.tech,Donor 971,137,POL,11,1.070091,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 972,8453,ETH,0.00004334671302,0.1000173387,TRUE,FALSE
human.tech,Donor 971,1,ETH,0.000043,0.09921734,TRUE,FALSE
human.tech,Donor 973,8453,ETH,0.00009,0.207621,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 974,8453,USDC,1,0.999957,TRUE,FALSE
SEAL Intel,Donor 263,10,OP,15,1.84731,FALSE,FALSE
ZachXBT,Donor 263,10,OP,15,1.84731,FALSE,FALSE
SEAL 911,Donor 263,10,OP,15,1.84731,FALSE,FALSE
Safe Multisig Transaction Hashes,Donor 263,10,OP,15,1.84731,FALSE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 263,10,OP,20,2.46308,FALSE,FALSE
Verity: Formal Verification for Smart Contracts,Donor 263,10,OP,20,2.46308,FALSE,FALSE
human.tech,Donor 975,10,OP,0.1,0.0123154,TRUE,FALSE
human.tech,Donor 974,8453,USDC,0.3,0.2999706,TRUE,FALSE
EVVM,Donor 976,10,GIV,2800,2.42396,TRUE,FALSE
EVVM,Donor 976,42161,ETH,0.005,11.54835,TRUE,FALSE
human.tech,Donor 923,1,ETH,1.00E-09,0.00000230999,TRUE,FALSE
human.tech,Donor 977,8453,USDC,6,5.999646,TRUE,FALSE
human.tech,Donor 926,1,ETH,1.00E-09,0.00000230958,FALSE,FALSE
human.tech,Donor 978,10,ETH,0.00002,0.046208,FALSE,FALSE
tanuki42,Donor 237,1,ETH,0.0013,3.00495,TRUE,FALSE
WebHash,Donor 979,8453,ETH,0.165,378.74,FALSE,FALSE
ZachXBT,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
human.tech,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
rotki,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
zkbugs <> AI,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
Aragon,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
Enscribe,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
ClaraHacks: Scaling AI-Powered Blockchain Security,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
Securing AI Agents on Ethereum: Security Education,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
EVMDecompiler: See What Smart Contracts Really Do,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
Webacy DD,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
Canon Guard,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
Zodiac,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
Rescue-Lifeboat,Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
"OSs Security - Hardening for macOs, Linux & Windows",Donor 979,8453,ETH,0.0005,1.16,FALSE,FALSE
human.tech,Donor 980,8453,USDC,1,0.999941,FALSE,FALSE
human.tech,Donor 981,10,ETH,0.0001,0.23097,TRUE,FALSE
human.tech,Donor 982,8453,USDC,1,0.999941,TRUE,FALSE
human.tech,Donor 791,8453,ETH,0.00001,0.02,TRUE,FALSE
human.tech,Donor 983,8453,USDC,0.05,0.0499961,TRUE,FALSE
human.tech,Donor 984,8453,DEGEN,22,0.01466454,FALSE,FALSE
human.tech,Donor 826,8453,USDC,0.12,0.11999232,FALSE,FALSE
human.tech,Donor 972,10,ETH,0.00001291744889,0.02997816951,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 985,10,OP,2,0.251334,TRUE,FALSE
WebHash,Donor 986,8453,USDC,3,2.999736,TRUE,FALSE
human.tech,Donor 836,1,ETH,0.00001,0.0232227,TRUE,FALSE
Self-Custodial Agent Authorization for Ethereum,Donor 987,42161,USDC,60,59.99106,TRUE,FALSE
human.tech,Donor 988,8453,USDC,1,0.999884,TRUE,FALSE
human.tech,Donor 793,10,ETH,0.000004,0.00925408,TRUE,FALSE
human.tech,Donor 793,1,ETH,0.000004,0.00925304,TRUE,FALSE
human.tech,Donor 989,1,ETH,0.0001,0.230473,FALSE,FALSE
Drew Security,Donor 990,1,USDC,5,4.999325,FALSE,FALSE
Boring Security,Donor 990,1,USDC,5,4.999325,FALSE,FALSE
WiiMee | Wallet Security Education,Donor 990,1,USDC,5,4.999325,FALSE,FALSE
human.tech,Donor 927,1,ETH,0.000005,0.0115238,TRUE,FALSE
human.tech,Donor 991,1,ETH,0.00006512310437,0.1499596237,TRUE,FALSE
human.tech,Donor 859,1,ETH,0.00005,0.1149995,FALSE,FALSE
human.tech,Donor 896,1,ETH,0.000043457288,0.09995132784,TRUE,FALSE
human.tech,Donor 992,10,USDC,1.15,1.1499287,TRUE,FALSE
WiiMee | Wallet Security Education,Donor 221,1,USDC,5,4.99978,TRUE,FALSE
Revoke.cash,Donor 221,1,USDC,5,4.99978,TRUE,FALSE
Drew Security,Donor 221,1,USDC,5,4.99978,TRUE,FALSE
human.tech,Donor 992,1,GIV,150,0.12819,TRUE,FALSE
human.tech,Donor 993,1,ETH,0.0001,0.230298,TRUE,FALSE
human.tech,Donor 992,100,XDAI,0.025,0.025,TRUE,FALSE
EVVM,Donor 994,137,USDC,10,9.9994,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 995,8453,USDC,1.1,1.0999439,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 996,8453,USDC,7,6.999741,TRUE,FALSE
human.tech,Donor 997,1,ETH,0.00012,0.2760948,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 998,8453,USDC,1.15,1.14992755,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 999,8453,USDC,1.111,1.110930007,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 1000,8453,USDC,1.32,1.31991684,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 1001,8453,USDC,1.15,1.14992755,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 1002,8453,USDC,1.22,1.21991948,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 1003,8453,USDC,1.1515,1.151424001,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 1004,8453,USDC,1.24,1.23991816,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 1005,8453,USDC,1.345,1.34491123,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 1006,8453,USDC,1.5,1.499901,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 1007,8453,USDC,1.44,1.43990496,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 1008,8453,USDC,1.256,1.255917104,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 1009,8453,USDC,1.1,1.0999274,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 1010,8453,USDC,1.212,1.211920008,FALSE,FALSE
Blobscan,Donor 1011,8453,ETH,0.00001,0.0230294,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 1011,8453,ETH,0.00001,0.0230294,TRUE,FALSE
human.tech,Donor 1012,42161,ETH,0.0001,0.230294,TRUE,FALSE
human.tech,Donor 996,8453,USDC,7,6.999286,TRUE,FALSE
Blobscan,Donor 1013,1,ETH,0.000004,0.009204,TRUE,FALSE
human.tech,Donor 1014,10,ETH,0.000012,0.02762076,TRUE,FALSE
human.tech,Donor 1015,137,POL,0.6,0.058482,TRUE,FALSE
human.tech,Donor 1016,1,ETH,0.0001,0.230206,FALSE,FALSE
human.tech,Donor 1017,100,XDAI,0.1000108012,0.1,TRUE,FALSE
human.tech,Donor 1018,1,ETH,0.0001,0.230222,TRUE,FALSE
human.tech,Donor 1019,137,POL,1,0.097279,TRUE,FALSE
human.tech,Donor 1020,8453,ETH,0.00001,0.0230106,FALSE,FALSE
human.tech,Donor 1017,8453,USDC,5,4.999795,TRUE,FALSE
human.tech,Donor 1021,100,XDAI,0.1,0.099984,TRUE,FALSE
human.tech,Donor 956,1,ETH,0.00006511745017,0.1499895812,TRUE,FALSE
human.tech,Donor 869,10,USDC.e,0.01,0.00999859,TRUE,FALSE
human.tech,Donor 806,10,OP,0.5,0.061303,TRUE,FALSE
human.tech,Donor 1021,100,GIV,1897,1.63069914,TRUE,FALSE
human.tech,Donor 1022,1,ETH,0.00004341389505,0.099984371,TRUE,FALSE
human.tech,Donor 1023,137,WMATIC,0.01,0.00097075,FALSE,FALSE
human.tech,Donor 1024,1,ETH,0.000011,0.02532926,TRUE,FALSE
human.tech,Donor 1025,8453,ETH,0.0005,1.151265,TRUE,FALSE
human.tech,Donor 1026,8453,USDC,1,0.999909,TRUE,FALSE
human.tech,Donor 1027,8453,USDC,1,0.999909,TRUE,FALSE
human.tech,Donor 1028,8453,USDC,1,0.999909,TRUE,FALSE
human.tech,Donor 1029,10,OP,0.5,0.0610715,TRUE,FALSE
human.tech,Donor 1030,8453,USDC,1,0.999914,TRUE,FALSE
human.tech,Donor 1031,42161,USDC,1.01,1.00993031,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 1032,8453,MAV,0.25,0.0037691675,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 1033,10,OP,1,0.122236,FALSE,FALSE
human.tech,Donor 1033,10,OP,1,0.122236,FALSE,FALSE
human.tech,Donor 1034,10,USDC,9,8.999001,TRUE,FALSE
human.tech,Donor 1035,8453,USDC,1,0.999986,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 992,10,USDC,0.15,0.1499979,TRUE,FALSE
human.tech,Donor 1036,8453,DEGEN,5,0.0032995,TRUE,FALSE
human.tech,Donor 1037,1,ETH,0.00011,0.2530429,FALSE,FALSE
human.tech,Donor 806,1,ETH,0.00002,0.046028,TRUE,FALSE
human.tech,Donor 1038,8453,USDC,1,1,TRUE,FALSE
human.tech,Donor 1039,8453,USDC,1,1,TRUE,FALSE
human.tech,Donor 1040,8453,USDC,1,1,TRUE,FALSE
human.tech,Donor 1041,8453,USDC,1,0.999956,TRUE,FALSE
human.tech,Donor 1042,8453,ETH,0.0005,1.15066,FALSE,FALSE
human.tech,Donor 1043,8453,USDC,1,0.999989,TRUE,FALSE
Sourcify,Donor 589,137,USDC.e,1,0.9998,TRUE,FALSE
BlockThreat,Donor 589,137,USDC.e,5,4.999,TRUE,FALSE
Vyper,Donor 589,137,USDC.e,1,0.9998,TRUE,FALSE
ZachXBT,Donor 589,137,USDC.e,5,4.999,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 589,137,USDC.e,5,4.999,TRUE,FALSE
Revoke.cash,Donor 589,137,USDC.e,1,0.9998,TRUE,FALSE
Remix Project,Donor 589,137,USDC.e,5,4.999,TRUE,FALSE
Web3Sec.News: Security Intelligence & Newsletter,Donor 589,137,USDC.e,5,4.999,TRUE,FALSE
"DigiBastion: DNS, OpSec & Supply Chain Security",Donor 589,137,USDC.e,5,4.999,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 589,137,USDC.e,5,4.999,TRUE,FALSE
human.tech,Donor 1044,8453,DEGEN,100,0.066055,TRUE,FALSE
human.tech,Donor 1045,8453,ETH,0.000003,0.00691302,FALSE,FALSE
human.tech,Donor 1046,8453,USDC,5,4.99976,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 1047,1,ETH,0.00001,0.0230434,FALSE,FALSE
human.tech,Donor 1048,10,ETH,0.00009,0.2073906,TRUE,FALSE
SEAL 911,Donor 1042,8453,ETH,0.0005,1.15344,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 1045,8453,ETH,0.000003,0.00692898,FALSE,FALSE
human.tech,Donor 1042,8453,ETH,0.0007,1.616762,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 1045,8453,ETH,0.000003,0.00692898,FALSE,FALSE
human.tech,Donor 1042,10,ETH,0.0001,0.230966,FALSE,FALSE
human.tech,Donor 1045,8453,ETH,0.000003,0.00692898,FALSE,FALSE
human.tech,Donor 1049,8453,ETH,0.00001,0.0230998,TRUE,FALSE
OpenSense Open Web3 Security,Donor 1050,10,USDC,9,8.999226,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 1051,8453,USDC,10,9.99925,TRUE,FALSE
human.tech,Donor 887,10,ETH,0.0001,0.231153,TRUE,FALSE
human.tech,Donor 1045,8453,USDC,0.9,0.8999667,FALSE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 1052,1,ETH,0.0001,0.230956,TRUE,FALSE
human.tech,Donor 1045,10,USDC,1,0.999848,FALSE,FALSE
human.tech,Donor 1053,1,ETH,0.0001,0.230882,TRUE,FALSE
spamreports,Donor 1054,1,USDC,30,29.99904,TRUE,FALSE
rotki,Donor 1054,1,USDC,30,29.99904,TRUE,FALSE
Revoke.cash,Donor 1054,1,USDC,30,29.99904,TRUE,FALSE
human.tech,Donor 909,1,ETH,0.00005,0.1155425,TRUE,FALSE
human.tech,Donor 1055,1,ETH,0.0005,1.155365,FALSE,FALSE
ZachXBT,Donor 1056,10,OP,50,6.1087,TRUE,FALSE
Specter - On-Chain Security Research and Investigator,Donor 1056,10,OP,50,6.1087,TRUE,FALSE
Revoke.cash,Donor 1056,10,OP,50,6.1087,TRUE,FALSE
Northscan by Heiner,Donor 1057,1,ETH,0.000433,0.99952421,FALSE,FALSE
human.tech,Donor 929,8453,ETH,0.00066,1.51,TRUE,FALSE
human.tech,Donor 1058,8453,USDC,1,0.999977,TRUE,FALSE
OpSec Hub,Donor 1059,1,ETH,0.001,2.31,FALSE,FALSE
human.tech,Donor 1060,10,ETH,0.00045,1.039536,TRUE,FALSE
SEAL Safe Harbor,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
Phylax Systems,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
Cyfrin Updraft,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
ZachXBT,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
SEAL 911,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
SEAL Frameworks,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
Safe Multisig Transaction Hashes,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
SEAL Intel,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
SEAL Certifications,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
Remix Project,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
Grego AI,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
Cyfrin/Solodit Tooling and Security Research,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
The Red Guild: security as a public good,Donor 1061,1,USDC,10,9.99956,FALSE,FALSE
WiiMee | Wallet Security Education,Donor 1062,1,ETH,0.05,115.461,TRUE,FALSE
Boring Security,Donor 1062,1,ETH,0.025,57.7305,TRUE,FALSE
Revoke.cash,Donor 1062,1,ETH,0.025,57.7305,TRUE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 1063,1,ETH,0.0005,1.154275,TRUE,FALSE
human.tech,Donor 1064,42161,USDC.e,0.01,0.00999871,FALSE,FALSE
human.tech,Donor 915,1,ETH,0.0001,0.231237,TRUE,FALSE
human.tech,Donor 1065,1,ETH,0.0001,0.231237,TRUE,FALSE
human.tech,Donor 1066,1,ETH,0.0000867,0.200824077,FALSE,FALSE
human.tech,Donor 1067,8453,USDC,1,0.999971,TRUE,FALSE
human.tech,Donor 937,10,OP,1,0.121939,TRUE,FALSE
human.tech,Donor 1068,8453,USDC,5.5,5.4995765,TRUE,FALSE
human.tech,Donor 1069,137,POL,5,0.484585,FALSE,FALSE
human.tech,Donor 1069,8453,USDC,0.1,0.0999958,FALSE,FALSE
human.tech,Donor 1070,10,OP,1,0.122435,FALSE,FALSE
human.tech,Donor 937,8453,USDC,0.01,0.0099995,TRUE,FALSE
human.tech,Donor 946,8453,USDC,0.01,0.00999881,FALSE,FALSE
human.tech,Donor 947,8453,USDC,0.01,0.00999881,FALSE,FALSE
human.tech,Donor 1071,42161,ETH,0.00001,0.0231422,FALSE,FALSE
human.tech,Donor 950,8453,USDC,0.01,0.00999881,FALSE,FALSE
human.tech,Donor 951,8453,USDC,0.01,0.00999881,FALSE,FALSE
human.tech,Donor 1071,1,ETH,0.00001,0.0231157,FALSE,FALSE
human.tech,Donor 1072,8453,USDC,5.15,5.14963435,TRUE,FALSE
human.tech,Donor 983,8453,AERO,0.1,0.0444431,TRUE,FALSE
human.tech,Donor 609,8453,ETH,0.00044,1.0184504,TRUE,FALSE
WebHash,Donor 609,8453,ETH,0.0005,1.15733,TRUE,FALSE
"Vero, a multi-node validator client",Donor 609,8453,ETH,0.00044,1.0184504,TRUE,FALSE
rotki,Donor 609,8453,ETH,0.00044,1.0184504,TRUE,FALSE
human.tech,Donor 1073,10,USDC,1.02,1.01996736,FALSE,FALSE
human.tech,Donor 850,8453,ETH,0.0001,0.23147,TRUE,FALSE
SEAL Certifications,Donor 1074,42161,USDC,5,4.99952,TRUE,FALSE
SEAL 911,Donor 1074,42161,USDC,5,4.99952,TRUE,FALSE
rotki,Donor 1074,42161,USDC,5,4.99952,TRUE,FALSE
SEAL Safe Harbor,Donor 1074,42161,USDC,5,4.99952,TRUE,FALSE
SEAL Intel,Donor 1074,42161,USDC,5,4.99952,TRUE,FALSE
SEAL Frameworks,Donor 1074,42161,USDC,5,4.99952,TRUE,FALSE
Blobscan,Donor 1075,10,OP,0.0001,0.0000122491,TRUE,FALSE
human.tech,Donor 1076,10,ETH,0.00001,0.0232294,FALSE,FALSE
human.tech,Donor 1077,1,ETH,0.000017,0.03948998,TRUE,FALSE
human.tech,Donor 1078,1,ETH,0.0001,0.232294,TRUE,FALSE
human.tech,Donor 1079,1,ETH,0.00001,0.0232294,FALSE,FALSE
human.tech,Donor 1080,10,ETH,0.00001,0.0232294,FALSE,FALSE
EVMcrispr,Donor 9,10,ETH,0.00444279,10.3394386,TRUE,FALSE
human.tech,Donor 1081,1,ETH,0.0001,0.232724,FALSE,FALSE
Assertions.eth On-chain Transaction Guards for Ethereum,Donor 9,42161,WBTC,0.00015,11.7786,TRUE,FALSE
human.tech,Donor 1076,10,ETH,0.000026,0.06050824,FALSE,FALSE
human.tech,Donor 1082,1,ETH,0.00002150537634,0.05004817204,TRUE,FALSE
human.tech,Donor 1083,1,ETH,0.000015,0.0349086,FALSE,FALSE
human.tech,Donor 1084,1,USDC,0.04,0.03999688,TRUE,FALSE
human.tech,Donor 1076,1,ETH,0.00001,0.0232724,FALSE,FALSE
human.tech,Donor 1085,8453,USDC,0.13,0.1299818,TRUE,FALSE
L2BEAT,Donor 1086,1,FINN,1,2.32685,TRUE,TRUE
SEAL 911,Donor 1086,1,FINN,1,2.32685,TRUE,TRUE
Cyfrin Updraft,Donor 1086,1,FINN,1,2.32685,TRUE,TRUE
Cyfrin/Solodit Tooling and Security Research,Donor 1086,1,FINN,1,2.32685,TRUE,TRUE
Revoke.cash,Donor 1086,1,FINN,1,2.32685,TRUE,TRUE
human.tech,Donor 1087,8453,ETH,0.000015,0.03488145,FALSE,FALSE
human.tech,Donor 1088,1,ETH,0.0001,0.232543,FALSE,FALSE
human.tech,Donor 1089,1,ETH,0.0000129012282,0.0300063216,FALSE,FALSE
EVMDecompiler: See What Smart Contracts Really Do,Donor 1090,8453,USDC,2,1.999784,TRUE,FALSE
LIF: Legitimate Intervention Framework,Donor 1090,8453,USDC,43,42.995356,TRUE,FALSE
"Firefly, open-source hardware wallet",Donor 1090,8453,USDC,2,1.999784,TRUE,FALSE
Unruggable,Donor 1091,8453,ETH,0.0022,5.11687,TRUE,FALSE
Protocol Guild,Donor 1091,8453,ETH,0.0022,5.11687,TRUE,FALSE
BuidlGuidl,Donor 1091,8453,ETH,0.0022,5.11687,TRUE,FALSE
WebHash,Donor 1091,8453,ETH,0.0022,5.11687,TRUE,FALSE
human.tech,Donor 1092,1,ETH,0.0025,5.814625,FALSE,FALSE
human.tech,Donor 1093,1,ETH,0.0001,0.232585,TRUE,FALSE
human.tech,Donor 1094,137,POL,0.1,0.0096683,FALSE,FALSE
human.tech,Donor 958,10,OP,0.3,0.0368085,TRUE,FALSE
human.tech,Donor 958,1,ETH,0.00001,0.0232418,TRUE,FALSE
human.tech,Donor 1095,8453,ETH,0.0004,0.929672,TRUE,FALSE
human.tech,Donor 625,1,ETH,0.002172809335,5.051673063,TRUE,FALSE
human.tech,Donor 1096,1,ETH,0.0004302592742,1.0003313,TRUE,FALSE
human.tech,Donor 1097,1,ETH,0.0005,1.162475,TRUE,FALSE
human.tech,Donor 877,1,ETH,1.00E-08,0.0000232583,FALSE,FALSE
EVMcrispr,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
Safe Multisig Transaction Hashes,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
Blobscan,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
SEAL Intel,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
Blockscout Open-Source Block Explorer,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
ZachXBT,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
Bluechip,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
CORE3. The open risk layer for Web3,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
Pharos Watch: Transparent Stablecoins Analytics,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
Revoke.cash,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
human.tech,Donor 1098,10,USDT,7,6.999972,TRUE,FALSE
Symproof by BlockScience & Shield3,Donor 1098,10,USDT,5,4.99998,TRUE,FALSE
Zealynx Academy,Donor 589,137,USDC.e,50,49.99,TRUE,FALSE
human.tech,Donor 626,1,ETH,0.002172295277,5.052389525,FALSE,FALSE
human.tech,Donor 410,1,ETH,0.002171267891,5.04910978,TRUE,FALSE
human.tech,Donor 1099,1,ETH,0.00043,0.9999306,FALSE,FALSE
human.tech,Donor 1094,10,ETH,0.00001,0.0232542,FALSE,FALSE
human.tech,Donor 1100,8453,USDC,0.15,0.1499787,TRUE,FALSE
human.tech,Donor 1101,1,ETH,0.00001,0.0232594,TRUE,FALSE
human.tech,Donor 1102,1,ETH,0.00002,0.0465188,TRUE,FALSE
human.tech,Donor 628,1,ETH,0.002170997197,5.052496647,FALSE,FALSE
human.tech,Donor 1103,1,ETH,0.000011,0.02559997,TRUE,FALSE
human.tech,Donor 1104,10,ETH,0.00043,1.0007261,TRUE,FALSE
human.tech,Donor 1105,1,ETH,0.00004,0.0930508,TRUE,FALSE
human.tech,Donor 1106,1,ETH,0.00001,0.0232408,FALSE,FALSE
human.tech,Donor 1107,10,OP,0.1,0.0121593,FALSE,FALSE
human.tech,Donor 1108,1,ETH,0.00002,0.0465224,FALSE,FALSE
human.tech,Donor 1109,1,ETH,0.0002,0.465224,TRUE,FALSE
human.tech,Donor 1110,10,ETH,2.00E-07,0.000464362,FALSE,FALSE
human.tech,Donor 1111,1,ETH,0.00001,0.023227,FALSE,FALSE
human.tech,Donor 1110,1,ETH,2.00E-07,0.00046454,FALSE,FALSE
Rekt News - Ethereum's Security Intelligence Layer,Donor 1112,42161,ARB,9,1.057734,FALSE,FALSE
human.tech,Donor 1109,1,ETH,0.0001,0.232234,TRUE,FALSE
human.tech,Donor 1113,1,ETH,0.00005,0.116117,FALSE,FALSE
human.tech,Donor 1112,8453,ETH,0.00045,1.045404,FALSE,FALSE
human.tech,Donor 1114,1,ETH,0.00005,0.1162065,FALSE,FALSE
human.tech,Donor 1115,8453,ETH,0.00005,0.1161875,FALSE,FALSE
human.tech,Donor 1116,1,ETH,0.00001,0.0232466,TRUE,FALSE
human.tech,Donor 1117,8453,USDC,0.2,0.1999764,FALSE,FALSE
human.tech,Donor 107,10,USDC,2,1.999816,FALSE,FALSE
human.tech,Donor 1118,8453,ETH,0.00001,0.0232482,TRUE,FALSE
human.tech,Donor 1119,100,USDC,1,0.999818,TRUE,FALSE
Anticapture by blockful,Donor 1120,8453,ETH,0.00001,0.0232376,TRUE,FALSE
human.tech,Donor 928,1,ETH,0.000015,0.0348564,TRUE,FALSE
human.tech,Donor 1116,10,OP,0.0001,0.0000121713,TRUE,FALSE
human.tech,Donor 1121,100,XDAI,0.02,0.02,FALSE,FALSE
human.tech,Donor 1116,1,ETH,0.00048,1.1178,TRUE,FALSE
human.tech,Donor 1122,1,ETH,0.00002,0.0465714,FALSE,FALSE
human.tech,Donor 1123,8453,DAI,0.01,0.01,FALSE,FALSE
Guild Academy,Donor 1124,8453,USDC,5,4.99945,TRUE,FALSE
human.tech,Donor 252,10,USDC,1,0.999916,FALSE,FALSE
human.tech,Donor 1125,8453,ETH,0.00044,1.024298,FALSE,FALSE
human.tech,Donor 1126,8453,USDC,0.02,0.01999632,TRUE,FALSE
human.tech,Donor 1127,1,ETH,0.00002,0.046559,FALSE,FALSE
human.tech,Donor 1128,10,ETH,0.00043,1.0011862,TRUE,FALSE
human.tech,Donor 1129,42161,ETH,0.00004293319595,0.09996307745,TRUE,FALSE
human.tech,Donor 724,10,ETH,0.00048,1.1184,TRUE,FALSE
human.tech,Donor 1130,8453,ETH,0.00001288499285,0.03002203334,TRUE,FALSE
human.tech,Donor 1131,1,ETH,0.00005,0.1165,FALSE,FALSE
human.tech,Donor 1132,1,ETH,0.00002,0.0465938,TRUE,FALSE
human.tech,Donor 1075,1,ETH,0.0001,0.232626,TRUE,FALSE
human.tech,Donor 1133,10,ETH,0.00001,0.0232626,FALSE,FALSE
human.tech,Donor 1134,1,ETH,0.00043,1.0000854,TRUE,FALSE
human.tech,Donor 1135,1,ETH,0.00005,0.1163555,TRUE,FALSE
human.tech,Donor 1136,1,ETH,2.00E-07,0.000465422,TRUE,FALSE
human.tech,Donor 1137,8453,USDC,0.1,0.0999858,TRUE,FALSE
human.tech,Donor 1138,137,POL,1,0.096723,FALSE,FALSE
human.tech,Donor 1139,1,ETH,0.0001,0.232544,FALSE,FALSE
human.tech,Donor 1140,10,ETH,0.0001,0.232494,FALSE,FALSE
Blockscout Open-Source Block Explorer,Donor 963,10,USDC,7.11,7.10948808,FALSE,FALSE
Revoke.cash,Donor 963,10,USDC,7.11,7.10948808,FALSE,FALSE
human.tech,Donor 1141,1,ETH,0.0005,1.162335,TRUE,FALSE
human.tech,Donor 1142,137,POL,0.2,0.0193134,TRUE,FALSE
human.tech,Donor 1143,8453,USDC,0.05,0.0499967,FALSE,FALSE
