id,project_name,transactionNetworkId,userId,currency,amount,amountUSD,createdAt,projectId,score,mbdScore,isBadgeholder,isQfEligible,isSelfDonation
237710591,EVMcrispr,137,Donor 11,WETH,0.00217,5.0631959,2026-04-23T14:58:05.612Z,1350,0,82,FALSE,TRUE,FALSE
237710592,Echidna: A Fast Smart Contract Fuzzer,137,Donor 11,WETH,0.00217,5.0631959,2026-04-23T14:58:05.651Z,16194,0,82,FALSE,TRUE,FALSE
237710593,yAudit,137,Donor 11,WETH,0.00217,5.0631959,2026-04-23T14:58:05.680Z,16744,0,82,FALSE,TRUE,FALSE
237710594,Tool Against Price Manipulation Attacks in DeFi on EVM,137,Donor 11,WETH,0.00217,5.0631959,2026-04-23T14:58:05.676Z,16881,0,82,FALSE,TRUE,FALSE
237710595,CypherTalk Podcast: Security Education for Ethereum,137,Donor 11,WETH,0.00217,5.0631959,2026-04-23T14:58:05.687Z,16805,0,82,FALSE,TRUE,FALSE
237710596,Web3Sec.News: Security Intelligence & Newsletter,137,Donor 11,WETH,0.00217,5.0631959,2026-04-23T14:58:05.681Z,16921,0,82,FALSE,TRUE,FALSE
237710597,Anticapture by blockful,137,Donor 11,WETH,0.00217,5.0631959,2026-04-23T14:58:05.692Z,16854,0,82,FALSE,TRUE,FALSE
237710598,ECH Institute - EthCatHerders,137,Donor 11,WETH,0.00217,5.0631959,2026-04-23T14:58:05.704Z,16890,0,82,FALSE,TRUE,FALSE
237710599,Tool Against Price Manipulation Attacks in DeFi on EVM,10,Donor 7,GIV,10000,5.6578,2026-04-23T14:59:44.740Z,16881,30.479,97,FALSE,TRUE,FALSE
237710600,Web3Sec.News: Security Intelligence & Newsletter,10,Donor 7,GIV,10000,5.6578,2026-04-23T14:59:44.727Z,16921,30.479,97,FALSE,TRUE,FALSE
237710601,SEAL Frameworks,10,Donor 7,GIV,10000,5.6578,2026-04-23T14:59:44.760Z,16757,30.479,97,FALSE,TRUE,FALSE
237710602,Cyfrin/Solodit Tooling and Security Research,10,Donor 7,GIV,10000,5.6578,2026-04-23T14:59:44.774Z,16923,30.479,97,FALSE,TRUE,FALSE
237710603,yAudit,10,Donor 7,GIV,10000,5.6578,2026-04-23T14:59:44.779Z,16744,30.479,97,FALSE,TRUE,FALSE
237710604,Anticapture by blockful,10,Donor 7,GIV,10000,5.6578,2026-04-23T14:59:45.023Z,16854,30.479,97,FALSE,TRUE,FALSE
237710605,SEAL Certifications,10,Donor 7,GIV,10000,5.6578,2026-04-23T14:59:44.873Z,16756,30.479,97,FALSE,TRUE,FALSE
237710606,SEAL Safe Harbor,10,Donor 7,GIV,10000,5.6578,2026-04-23T14:59:45.127Z,16747,30.479,97,FALSE,TRUE,FALSE
237710607,Act,10,Donor 7,GIV,10000,5.6578,2026-04-23T14:59:45.210Z,16190,30.479,97,FALSE,TRUE,FALSE
